,productName,offer_Price,market_Price
62,"New men&aposs shoes winter and fall trends go with casual canvas shoes and men&aposs sneakers Black/white 39 Quality first service is the best
Customers are all our friends.
Fashion Design 100% New Quality",KSh 958,
63,"200*100cm Romantic Butterfly Blinds Curtain Yarn Tulle Organza Child Window Screen Living Bedroom colorful-same with picture 200*100cm *What you get:1 x Colorful Butterlfly Printed Burnt-out Curtain 
*Material: Organdy
*Size: 100cm wide x200cm height",KSh 599,
64,"2pcs Oval Double Sides Magic twist hair brush sponge Sponge Brush for Natural afro coil wave dread random color normal *What you get: 2pcs/set Magic Twist hair sponge
*Size: 145*96*45mm
*Holes : 32 holes
*Hole Diameter: 8 mm",KSh 649,
65,Summer Chiffon Blouse/ Shirt /Short Sleeve Shirt /Women&aposs Tops Yellow l Summer Chiffon Blouse/ Shirt /Short Sleeve Shirt /Women&aposs Tops,KSh 699,KSh 999 
66,1 Pairs Fashion New Female Pointed Shoes/ Flat Shoes/ Pearls Single Shoes Shoes/ Shoes Gold 39 1 Pairs Fashion New Female Pointed Shoes/ Flat Shoes/ Pearls Single Shoes Shoes/ Shoes,KSh 799,KSh 999 
67,"Baby Girl Clothing Toddler Kids Jumpsuit Summer Newborn Infant Clothes Outfit GX603A royal blue 110 2018NEW,Fashion!",KSh 515,KSh 659 
68,"OALE P1, 5.5 inch, 2GB+16GB, 5MP+8MP, 2500mAh, Android 8.1, Fingerprint, Smart Phones Luxury Gold ","KSh 6,999","KSh 9,999 "
69,"Certified Refurbished: iPhone4S - 3.5 inch screen -16G Smartphone black A smoother system than iPhone4, which supports more app","KSh 3,899",
70,SANZ 2800 Rechargeable Hair Clipper Professional Electric Haircut Trimmer white 3w ,"KSh 1,250","KSh 2,300 "
71,Baby Kids Girls Princess Dress Pageant Wedding Birthday Party Lace Long Dresses pink  WWW108A 100 ,KSh 649,KSh 999 
72,5Pcs Glitter Eyes Makeup Women Easy to Wear Waterproof Pigmented Liquid Eyeliner Glitter Makeup 5pcs ,KSh 999,"KSh 1,998 "
73,New Fashion Women Shoes Sandals Summer Flip Flops Bohemia Flat Sandals Female Beaded Shoes brown 38 women shoes ladies shoes,"KSh 1,254","KSh 1,399 "
74,Women Sneakers Fashion Flat Platform Shoes Height Increasing Causal Shoes For Women Zippers Sneakers red 38 ,"KSh 1,873","KSh 2,094 "
75,Elegant Ladies Shallow Mouth Low Heel Sandals Shoes Red 36 ,"KSh 1,299","KSh 2,799 "
76,4Pcs Bedding Set  (1 Duvet cover+1 Bed sheet+2 Pillow covers) Aloe Cotton Flexibility Zipper Design color as picture 5*6 ,"KSh 1,690","KSh 3,100 "
77,4Pcs Bedding Set (1 Duvet cover+1 Bed sheet+2 Pillow covers) Fashion Button Double Pure Color Cotton double color 5*6 ,"KSh 2,190","KSh 3,790 "
78,"(Special Offer)Skyworth 32""   Digital LED TV For Sale one 32 >Display size:32""  > Resolution/Frame:1366*766/60Hz   >ATV Receiving System PAL/SECAM BG/DK/I","KSh 15,450","KSh 19,999 "
79,Chiffon shirt women&aposs new spring slim office business party Korean version of long-sleeved jacket black s ,KSh 699,KSh 872 
80,Hot-Men shoe autumn men&aposs sports shoe Breathable Trendy British Casual Business Shoe with 6 gifts! black a 39 ,"KSh 1,399",
81,"Feiyue men shoes women shoes,lovers shoes, sports shoes,casual shoes，female shoes flat shoes black 36 This shoe belongs to the explosive style of INS. It is fashionable, lightweight and has a strong discount.",KSh 999,"KSh 1,699 "
82,"fashion casual men&aposs shoes comfortable outdoor sports shoes black 39 Color:  black
Size: 39, 40, 41, 42, 43, 44","KSh 1,589",
83,New ladies watches selling diamond square ladies bracelet watches ladies watches golden one size New ladies watches selling diamond square ladies bracelet watches ladies watches,"KSh 1,225",
84,"In 2019, new promotions, crazy buying, one-shoulder slanting, handbags red ordinary 2019 nuevo verano bolso de mujer para mujer bolsillo cremallera Bolsos De Mujer solapa de la famosa marca de cuero de las mujeres Crossbody","KSh 1,799",
85,Kztown Women Low Heel Shoes Fashion Boots Flat Shoes Casual Sneakers white 35 Welcome!you will find more good products if you visit our Store. We guarantee the lowest price and the highest quality of our products!,"KSh 1,599",
86,"Mini Bluetooth Earphone With charging cell left and right ears wireless stereo twin ears  white white Listening time: 2 hours, talking time: 2.5 hours, transmission distance: 10-18 meters. Charging box, easy to carry.",KSh 699,
87,"TECNO SPARK2, 6.0""HD, 16GB+1GB, 13MP+8MP, Face Unlock, 13 months warranty champagne gold ","KSh 10,099","KSh 10,200 "
88,"FH Brand 17-Inch Bags Business Laptop Backpack Waterproof  USB Charging Port & Headphone interface gray 17-inch Anti Theft Waterproof Travel Backpack、College Student for Women Men,Fits Under 17-Inch Laptop Notebook","KSh 1,699","KSh 3,299 "
89,"SOHI 1 Pairs PU Size 35-40 Comfortable Flat White Shoes Sequin Leaf Sneakers Shoes Women gold 35 SOHI High Quality 1 Pairs PU Causal Non-Slip Soles White Shoes,Shopping Made Fun","KSh 1,399","KSh 3,418 "
90,Sundabests 6pcs High Quality Spiral Glass Glassware Cup(1089) as the picture 6pcs ,KSh 299,KSh 459 
91,"HS2YGK - Two Slice Sandwich Maker white Cool touch handle & cool wrap body
Easy upright storage
Cord winding storage
High quality nonstick sandwich plates
Auto temperature control","KSh 1,695",
92,TAGWOOD MP-3319 Home Theater Sound System Bluetooth Speaker Subwoofer And FM Radio Black 12000w MP-3319 Multimedia 3.1,"KSh 6,499","KSh 6,999 "
93,"Handbags 4 PCS Graceful Solid Color Design Women Shoulder Bags Tote pink 35 * 28 * 17cm 100% brand new and high quality.
Package include:1*Hangbag,1*Shoulder bag1*Cellphone bag,1*Card bag","KSh 1,499","KSh 2,999 "
94,20 Inches Curly Braiding Synthetic Fiber Hair Extensions For Women Natural Black Hair Wig Piece black 20inches 20 Inches Curly Braiding Synthetic Fiber Hair Extensions For Women Natural Black Hair Wig Piece,"KSh 1,268",
95,"PRINLLA Women Fashion Water Drop Crystal Earrings Red Bride Wedding Drop Earrings Red 45mm Fashion,Personality,Elegant Temperament,Anti-allergy,Not easy to fade.
Occasions: Daily Dress Decoration,Wedding,Party,Gift...",KSh 299,KSh 599 
96,"Women&aposs mesh breathable sports shoes with box，thick-soled lady&aposs casual shoes,fashion Torre shoes Black 39 Women&aposs sports shoes,casual shoes,white torre shoes,
Fabric material: PU+ mesh fabric
Lining material: breathable mesh cloth
Size: 36 ~ 40","KSh 2,099",
97,"Ryan World Sport Smart Watch Smart Wristband Pedometer Waterproof Fitness Band Bracelet black one-size Packing List:
1 * Fitness tracker Bracelet
1* Charger cable
1* Manual",KSh 899,
98,2019 latest style scarce women&aposs handbags handmade beaded luxury fashion style black small ,"KSh 1,500",
99,"New Promotional Women&aposs Bag in 2019, Limited Buy, Single Shoulder Skew Bag red ordinary New promotional ladies&aposbags ， fashionable European and American style, single shoulder diagonal straddle bags","KSh 1,899",
100,"Women&aposs Wish Bottle Pendant Necklace Heart-shaped Crystal Drifting Bottle Necklace Rose Red 45cm Appearance: Stylish and Novel Design, Elegant Temperament.
Nice accessories,Match with suitable apparel for different occasion.",KSh 199,KSh 599 
101,"Europe Fashion Ladies shoes Casual Flats Women shoes Office loafers flats Cow leather white black black 41 High quality leather,Light, soft, breathable, comfortable and durable.Europe Fashion Ladies shoes Casual Flats Women shoes","KSh 1,899",
